survey,last3letters,var_names,n_waves,which_waves,n_different_var_label,var_label_across_waves,n_different_value_labels,value_labels_across_waves,n_different_var_type,var_type_across_waves
All surveys,    nomem_encr,nomem_encr,1,"",1,Number of household member encrypted,1,NULL,1,numeric
Outcome,   new_child,new_child,1,"",1,Whether respondent had child in 2021-2023 [outcome variable; imputed by PreFer organisers],1,NULL,1,numeric
Outcome, outcome_available,outcome_available,1,"",1,Whether the outcome is available for the respondent [imputed by PreFer organisers],1,NULL,1,numeric
All surveys,    nomem_encr,nomem_encr; nomem_encr; nomem_encr; nomem_encr; nomem_encr; nomem_encr; nomem_encr; nomem_encr; nomem_encr; nomem_encr; nomem_encr; nomem_encr; nomem_encr,13,"",1,Number of household member encrypted,1,NULL,1,numeric
Family & Household,  *****_m,cf08a_m; cf09b_m; cf10c_m; cf11d_m; cf12e_m; cf13f_m; cf14g_m; cf15h_m; cf16i_m; cf17j_m; cf18k_m; cf19l_m; cf20m_m,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",2,Year and month of field work period -- AND -- Year and month of fieldwork period,1,NULL,1,numeric
Family & Household,001,cf08a001; cf09b001; cf10c001; cf11d001; cf12e001; cf13f001; cf14g001; cf15h001; cf16i001; cf17j001; cf18k001; cf19l001; cf20m001,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",2,Randomly chosen child -- AND -- Randomly selected child,2,"c(`not applicable` = 16) -- AND -- c(`child 1` = 1, `child 2` = 2, `child 3` = 3, `child 4` = 4, `child 5` = 5, `child 6` = 6, `child 7` = 7, `child 8` = 8, `child 9` = 9, `child 10` = 10, `child 11` = 11, `child 12` = 12, `child 13` = 13, `child 14` = 14, `child 15` = 15, `not applicable` = 16)",1,categorical
Family & Household,002,cf08a002; cf09b002; cf10c002; cf11d002; cf12e002; cf13f002; cf14g002; cf15h002; cf16i002; cf17j002; cf18k002; cf19l002; cf20m002,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",2,Year of birth of randomly chosen child -- AND -- Year of birth of randomly selected child,1,NULL,1,numeric
Family & Household,003,cf08a003; cf09b003; cf10c003; cf11d003; cf12e003; cf13f003; cf14g003; cf15h003; cf16i003; cf17j003; cf18k003; cf19l003; cf20m003,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",2,Gender respondent -- AND -- Preload variable: Gender respondent,1,"c(male = 1, female = 2)",1,categorical
Family & Household,004,cf08a004; cf09b004; cf10c004; cf11d004; cf12e004; cf13f004; cf14g004; cf15h004; cf16i004; cf17j004; cf18k004; cf19l004; cf20m004,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",2,Age respondent -- AND -- Preload variable: Age respondent,1,NULL,1,numeric
Family & Household,005,cf08a005; cf09b005; cf10c005; cf11d005; cf12e005; cf13f005; cf14g005; cf15h005; cf16i005; cf17j005; cf18k005; cf19l005; cf20m005,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",3,What is the year of birth of your father? -- AND -- What is the year of birth of your father? We mean your biological father. -- AND -- Please note: the questions are about your biological father. What is the year of birth of your father?,1,NULL,1,numeric
Family & Household,006,cf08a006; cf09b006; cf10c006; cf11d006; cf12e006; cf13f006; cf14g006,7,"2008, 2009, 2010, 2011, 2012, 2013, 2014",1,Can you perhaps indicate the period in which your biological father was born?,1,"c(`1800-1810` = 1, `1810-1820` = 2, `1820-1830` = 3, `1830-1840` = 4, `1840-1850` = 5, `1850-1860` = 6, `1860-1870` = 7, `1870-1880` = 8, `1880-1890` = 9, `1890-1900` = 10, `1900-1910` = 11, `1910-1920` = 12, `1920-1930` = 13, `1930-1940` = 14, `1940-1950` = 15, `1950-1960` = 16, `1960-1970` = 17, `1970-1980` = 18, `I never knew my father` = 19)",1,categorical
Family & Household,007,cf08a007; cf09b007; cf10c007; cf11d007; cf12e007; cf13f007; cf14g007; cf15h007; cf16i007; cf17j007; cf18k007; cf19l007; cf20m007,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",2,Is your father still alive? -- AND -- Is your biological father still alive?,1,"c(yes = 1, no = 2, `I don't know` = 99)",1,categorical
Family & Household,008,cf08a008; cf09b008; cf10c008; cf11d008; cf12e008; cf13f008; cf14g008; cf15h008; cf16i008; cf17j008; cf18k008; cf19l008; cf20m008,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",2,In what year did your father pass away? -- AND -- In what year did your biological father pass away?,1,NULL,1,numeric
Family & Household,009,cf08a009; cf09b009; cf10c009; cf11d009; cf12e009; cf13f009; cf14g009; cf15h009; cf16i009; cf17j009; cf18k009; cf19l009; cf20m009,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",3,What is the year of birth of your mother? -- AND -- What is the year of birth of your mother? We mean your biological mother. -- AND -- Please note: the questions are about your biological mother. What is the year of birth of your mother?,1,NULL,1,numeric
Family & Household,010,cf08a010; cf09b010; cf10c010; cf11d010; cf12e010; cf13f010; cf14g010,7,"2008, 2009, 2010, 2011, 2012, 2013, 2014",1,Can you perhaps indicate the period in which your biological mother was born?,1,"c(`1800-1810` = 1, `1810-1820` = 2, `1820-1830` = 3, `1830-1840` = 4, `1840-1850` = 5, `1850-1860` = 6, `1860-1870` = 7, `1870-1880` = 8, `1880-1890` = 9, `1890-1900` = 10, `1900-1910` = 11, `1910-1920` = 12, `1920-1930` = 13, `1930-1940` = 14, `1940-1950` = 15, `1950-1960` = 16, `1960-1970` = 17, `1970-1980` = 18, `I never knew my mother` = 19)",1,categorical
Family & Household,011,cf08a011; cf09b011; cf10c011; cf11d011; cf12e011; cf13f011; cf14g011; cf15h011; cf16i011; cf17j011; cf18k011; cf19l011; cf20m011,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",2,Is your mother still alive? -- AND -- Is your biological mother still alive?,1,"c(yes = 1, no = 2, `I don't know` = 99)",1,categorical
Family & Household,012,cf08a012; cf09b012; cf10c012; cf11d012; cf12e012; cf13f012; cf14g012; cf15h012; cf16i012; cf17j012; cf18k012; cf19l012; cf20m012,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",2,In what year did your mother pass away? -- AND -- In what year did your biological mother pass away?,1,NULL,1,numeric
Family & Household,013,cf08a013; cf09b013; cf10c013; cf11d013; cf12e013; cf13f013; cf14g013; cf15h013; cf16i013; cf17j013; cf18k013; cf19l013; cf20m013,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,Did your own parents ever divorce?,1,"c(yes = 1, no = 2, `my parents never had a relationship` = 3, `I don't know` = 99)",1,categorical
Family & Household,014,cf08a014; cf09b014; cf10c014; cf11d014; cf12e014; cf13f014; cf14g014; cf15h014; cf16i014; cf17j014; cf18k014; cf19l014; cf20m014,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,How old were you when your parents separated?,1,NULL,1,numeric
Family & Household,015,cf08a015; cf09b015; cf10c015; cf11d015; cf12e015; cf13f015; cf14g015; cf15h015; cf16i015; cf17j015; cf18k015; cf19l015; cf20m015,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,Is your father currently living together with a partner?,1,"c(yes = 1, no = 2, `I don't know` = 99)",1,categorical
Family & Household,016,cf08a016; cf09b016; cf10c016; cf11d016; cf12e016; cf13f016; cf14g016; cf15h016; cf16i016; cf17j016; cf18k016; cf19l016; cf20m016,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,Is your mother currently living together with a partner?,1,"c(yes = 1, no = 2, `I don't know` = 99)",1,categorical
Family & Household,017,cf08a017; cf09b017; cf10c017; cf11d017; cf12e017; cf13f017; cf14g017,7,"2008, 2009, 2010, 2011, 2012, 2013, 2014",1,Do you know the postal code of your parents' address?,1,"c(yes = 1, no = 2, `my parents live abroad` = 3, `my parents and I live at the same address` = 4)",1,categorical
Family & Household,018,cf08a018; cf09b018; cf10c018; cf11d018; cf12e018; cf13f018; cf14g018; cf15h018; cf16i018; cf17j018; cf18k018; cf19l018; cf20m018,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,Do you know the postal code of your father's address?,1,"c(yes = 1, no = 2, `my father lives abroad` = 3, `my father and I live at the same address` = 4)",1,categorical
